Year,State,NMFS.Name,Pounds,Metric.Tons,Dollars,Confidentiality,Collection,Scientific.Name,Tsn,Source
2005,VIRGINIA,MENHADENS **,372577775,169000,25443147,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,CONNECTICUT,MENHADENS **,33210,15,3327,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,DELAWARE,MENHADENS **,75635,34,6480,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,FLORIDA-EAST,MENHADENS **,20870,9,14042,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,MARYLAND,MENHADENS **,3297691,1496,375581,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NEW HAMPSHIRE,MENHADENS **,140,0,17,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NEW JERSEY,MENHADENS **,18023688,8175,1186929,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NEW YORK,MENHADENS **,75420,34,9947,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NORTH CAROLINA,MENHADENS **,50577982,22942,4535531,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,RHODE ISLAND,MENHADENS **,39232,18,4306,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,VIRGINIA,MENHADENS **,399797922,181347,24418822,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,CONNECTICUT,MENHADENS **,46515,21,4655,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,DELAWARE,MENHADENS **,45871,21,4330,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,FLORIDA-EAST,MENHADENS **,35810,16,20608,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,MARYLAND,MENHADENS **,4231660,1919,336860,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,NEW JERSEY,MENHADENS **,20450091,9276,1478493,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,NEW YORK,MENHADENS **,148575,67,21129,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,NORTH CAROLINA,MENHADENS **,48936503,22197,1748071,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,VIRGINIA,MENHADENS **,373867599,169585,22511216,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,CONNECTICUT,MENHADENS **,1138788,517,291534,Public,Commercial,Brevoortia ,161731,ACCSPHIST
